"","x"
"P1242_p_DELTA_NDUFB8_UP",0.4196
"P1242_p_DELTA_NDUFB8_DOWN",0.0498
"P1242_p_DELTA_MTCO1_UP",1
"P1242_p_DELTA_MTCO1_DOWN",0
"P1806_p_DELTA_NDUFB8_UP",0
"P1806_p_DELTA_NDUFB8_DOWN",0
"P1806_p_DELTA_MTCO1_UP",0.7654
"P1806_p_DELTA_MTCO1_DOWN",0.0244
"P0907_p_DELTA_NDUFB8_UP",1
"P0907_p_DELTA_NDUFB8_DOWN",0
"P0907_p_DELTA_MTCO1_UP",1
"P0907_p_DELTA_MTCO1_DOWN",0
"P1791_p_DELTA_NDUFB8_UP",0.9912
"P1791_p_DELTA_NDUFB8_DOWN",0.0054
"P1791_p_DELTA_MTCO1_UP",0
"P1791_p_DELTA_MTCO1_DOWN",1
"P2182_p_DELTA_NDUFB8_UP",0.2354
"P2182_p_DELTA_NDUFB8_DOWN",0
"P2182_p_DELTA_MTCO1_UP",0
"P2182_p_DELTA_MTCO1_DOWN",0.509
"P0523_p_DELTA_NDUFB8_UP",1
"P0523_p_DELTA_NDUFB8_DOWN",1
"P0523_p_DELTA_MTCO1_UP",1
"P0523_p_DELTA_MTCO1_DOWN",0
"P1955_p_DELTA_NDUFB8_UP",0.3268
"P1955_p_DELTA_NDUFB8_DOWN",0
"P1955_p_DELTA_MTCO1_UP",1
"P1955_p_DELTA_MTCO1_DOWN",0
"P2019_p_DELTA_NDUFB8_UP",0
"P2019_p_DELTA_NDUFB8_DOWN",0
"P2019_p_DELTA_MTCO1_UP",0.0018
"P2019_p_DELTA_MTCO1_DOWN",0.428
"P2005_p_DELTA_NDUFB8_UP",8e-04
"P2005_p_DELTA_NDUFB8_DOWN",0.996
"P2005_p_DELTA_MTCO1_UP",0.0024
"P2005_p_DELTA_MTCO1_DOWN",0.858
"P2110_p_DELTA_NDUFB8_UP",1
"P2110_p_DELTA_NDUFB8_DOWN",0.0122
"P2110_p_DELTA_MTCO1_UP",1
"P2110_p_DELTA_MTCO1_DOWN",0.0226
