"","x"
"P1242_p_DELTA_NDUFB8_UP",0.6848
"P1242_p_DELTA_NDUFB8_DOWN",0.0948571428571428
"P1242_p_DELTA_MTCO1_UP",1
"P1242_p_DELTA_MTCO1_DOWN",0
"P1806_p_DELTA_NDUFB8_UP",0
"P1806_p_DELTA_NDUFB8_DOWN",0
"P1806_p_DELTA_MTCO1_UP",1
"P1806_p_DELTA_MTCO1_DOWN",0.0488
"P0907_p_DELTA_NDUFB8_UP",1
"P0907_p_DELTA_NDUFB8_DOWN",0
"P0907_p_DELTA_MTCO1_UP",1
"P0907_p_DELTA_MTCO1_DOWN",0
"P1791_p_DELTA_NDUFB8_UP",1
"P1791_p_DELTA_NDUFB8_DOWN",0.0127058823529412
"P1791_p_DELTA_MTCO1_UP",0
"P1791_p_DELTA_MTCO1_DOWN",1
"P2182_p_DELTA_NDUFB8_UP",0.428
"P2182_p_DELTA_NDUFB8_DOWN",0
"P2182_p_DELTA_MTCO1_UP",0
"P2182_p_DELTA_MTCO1_DOWN",0.783076923076923
"P0523_p_DELTA_NDUFB8_UP",1
"P0523_p_DELTA_NDUFB8_DOWN",1
"P0523_p_DELTA_MTCO1_UP",1
"P0523_p_DELTA_MTCO1_DOWN",0
"P1955_p_DELTA_NDUFB8_UP",0.568347826086956
"P1955_p_DELTA_NDUFB8_DOWN",0
"P1955_p_DELTA_MTCO1_UP",1
"P1955_p_DELTA_MTCO1_DOWN",0
"P2019_p_DELTA_NDUFB8_UP",0
"P2019_p_DELTA_NDUFB8_DOWN",0
"P2019_p_DELTA_MTCO1_UP",0.0048
"P2019_p_DELTA_MTCO1_DOWN",0.6848
"P2005_p_DELTA_NDUFB8_UP",0.00228571428571429
"P2005_p_DELTA_NDUFB8_DOWN",1
"P2005_p_DELTA_MTCO1_UP",0.006
"P2005_p_DELTA_MTCO1_DOWN",1
"P2110_p_DELTA_NDUFB8_UP",1
"P2110_p_DELTA_NDUFB8_DOWN",0.0271111111111111
"P2110_p_DELTA_MTCO1_UP",1
"P2110_p_DELTA_MTCO1_DOWN",0.047578947368421
